FeatureCode,DateCode,Measurement,Units,Value,Indices of Deprivation
E01006616,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01007367,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01007376,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01006594,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01007489,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01007203,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01006901,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01007248,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01001538,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01006916,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01027969,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01007023,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01007212,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01007332,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01007308,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01006930,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01007372,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01007264,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01007120,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01007298,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01005962,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01006035,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01005228,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01005248,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01004419,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01004344,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01005899,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01004467,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01005506,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01005511,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01006067,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01006019,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01005990,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01005998,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01005617,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01004342,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01004362,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01005886,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01004364,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01027426,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01027303,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01027307,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01027536,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01003951,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01004426,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01004463,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01003932,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01005727,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01005794,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01005682,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01006158,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01003752,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01004172,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01004328,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01004036,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01028620,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01004077,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01004050,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01028088,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01028113,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
E01028009,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01028068,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01028120,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01028147,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01028114,2019,Decile ,,4,a. Index of Multiple Deprivation (IMD)
E01027889,2019,Decile ,,5,a. Index of Multiple Deprivation (IMD)
E01027930,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01027838,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01027855,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01006028,2019,Decile ,,1,a. Index of Multiple Deprivation (IMD)
E01005536,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01027894,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01027927,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01028530,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01028711,2019,Decile ,,10,a. Index of Multiple Deprivation (IMD)
E01028445,2019,Decile ,,3,a. Index of Multiple Deprivation (IMD)
E01027922,2019,Decile ,,9,a. Index of Multiple Deprivation (IMD)
E01028505,2019,Decile ,,6,a. Index of Multiple Deprivation (IMD)
E01027814,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01028713,2019,Decile ,,7,a. Index of Multiple Deprivation (IMD)
E01000426,2019,Decile ,,8,a. Index of Multiple Deprivation (IMD)
E01011237,2019,Decile ,,2,a. Index of Multiple Deprivation (IMD)
