local authority: county / unitary (prior to April 2015),All categories: Ethnic group,White,Mixed,Asian,Black,Other
Darlington,105564,101595,1146,2205,357,261
County Durham,513242,503769,3094,4856,701,822
Hartlepool,92028,89899,550,1304,170,105
Middlesbrough,138412,122055,2362,10768,1731,1496
Northumberland,316028,311066,1692,2658,338,274
Redcar and Cleveland,135177,133203,853,869,122,130
Stockton-on-Tees,191610,181299,1997,6632,1133,549
Gateshead,200214,192742,1558,3738,1081,1095
Newcastle upon Tyne,280177,239533,4279,27107,5160,4098
North Tyneside,200801,194025,1815,3815,734,412
South Tyneside,148127,142099,1325,3311,420,972
Sunderland,275506,264282,1778,7336,1273,837
Blackburn with Darwen,147489,102009,1823,41494,933,1230
Blackpool,142065,137339,1753,2282,346,345
Cheshire East,370127,357940,3873,6060,1402,852
Cheshire West and Chester,329608,321025,3050,4097,908,528
Halton,125746,123041,1356,943,260,146
Warrington,202228,193992,2144,4911,694,487
Cumbria,499858,492257,2504,4066,579,452
Bolton,276786,226645,4892,38749,4652,1848
Bury,185060,165032,3365,13407,1893,1363
Manchester,503127,335109,23161,85986,43484,15387
Oldham,224897,174326,4057,43165,2797,552
Rochdale,211699,172874,3569,31630,2770,856
Salford,233933,210862,4616,9429,6541,2485
Stockport,283275,260819,5104,13762,1958,1632
Tameside,219324,199429,3159,14553,1784,399
Trafford,226578,193834,6031,17973,6540,2200
Wigan,317849,309193,2756,3519,1678,703
Lancashire,1171339,1080687,12724,71054,4098,2776
Knowsley,145893,141858,1913,1403,505,214
Liverpool,466415,414671,11756,19403,12308,8277
Sefton,273790,266741,2820,2719,796,714
St. Helens,175308,171877,1179,1764,248,240
Wirral,319783,310156,3286,5116,695,530
East Riding of Yorkshire,334179,327789,2301,2961,598,530
"Kingston upon Hull, City of",256406,241321,3454,6471,2996,2164
North East Lincolnshire,159616,155421,1186,2129,411,469
North Lincolnshire,167446,160748,1244,4549,494,411
York,198051,186731,2413,6740,1194,973
North Yorkshire,598376,582475,5043,7356,2424,1078
Barnsley,231221,226285,1630,1661,1221,424
Doncaster,302402,288066,3321,7614,2337,1064
Rotherham,257280,240758,2551,10551,2112,1308
Sheffield,552698,462544,13289,44385,20082,12398
Bradford,522452,352317,12979,140149,9267,7740
Calderdale,203826,182787,2797,16875,899,468
Kirklees,422458,334270,9790,67782,7905,2711
Leeds,751485,639487,19632,58243,25893,8230
Wakefield,325837,310957,2928,8498,2512,942
